company,entity_id,subsector,fy,peer_group,metric,value,unit,status,nm_reason,fact_id,input_fact_ids,comparability_status,business_scope_status,semiconductor_revenue_share,calibration_status,source,notes
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,rev_growth,71.68,percent,present,,ex_rev_growth,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,rev_cagr_3y,,percent,missing,insufficient_history,,,comparable,pure_play,100,uncalibrated,,缺少四个完整FY端点
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,nps_growth,152.52,percent,present,,ex_nps_growth,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,nps_cagr_3y,,percent,missing,insufficient_history,,,comparable,pure_play,100,uncalibrated,,缺少四个完整FY端点
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,gross_margin_total,52.21,percent,present,,ex_gm,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,net_margin_parent,25.28,percent,present,,ex_nm,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,roe_weighted_parent,12.22,percent,present,,ex_roe,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,cash_conversion_parent_3y,,ratio,missing,insufficient_history,,,comparable,pure_play,100,uncalibrated,,三年历史不足，回退当前FY
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,cash_conversion_parent_fy,0.72,ratio,present,,ex_cashconv,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,fcf_long_term_assets_margin,2.40,percent,present,,ex_fcf,,comparable,pure_play,100,uncalibrated,由facts.csv解析,明确采用长期资产现金支出口径
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,cash_receipts_to_revenue,0.726,ratio,present,,ex_cashratio,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,debt_to_assets,24.9,percent,present,,ex_debt,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,current_ratio,3.23,ratio,present,,ex_current,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,net_cash_to_assets,18.0,percent,present,,ex_netcash,,comparable,pure_play,100,uncalibrated,由facts.csv解析,净现金仅含现金及现金等价物减有息负债
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,recurring_parent_profit_ratio,0.966,ratio,present,,ex_recurring,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,government_grant_pnl_ratio,5.5,percent,present,,ex_subsidy,,comparable,pure_play,100,uncalibrated,由facts.csv解析,仅含已对账且互斥的当期损益影响
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,rd_capitalization_rate,0,percent,present,,ex_rdcap,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,rd_expense_intensity,8.55,percent,present,,ex_rdintensity,,comparable,pure_play,100,uncalibrated,由facts.csv解析,使用研发费用而非总投入
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,top5_billed_customer_revenue_ratio,58.28,percent,present,,ex_cust,,comparable,pure_play,100,uncalibrated,由facts.csv解析,直接开票客户口径
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,top5_supplier_purchase_ratio,41.34,percent,present,,ex_supp,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,goodwill_to_parent_equity,0,percent,present,,ex_goodwill,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,largest_billed_customer_revenue_ratio,35,percent,present,,ex_maxcust,,comparable,pure_play,100,uncalibrated,由facts.csv解析,集中风险，不推断终端需求集中度
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,largest_supplier_purchase_ratio,20,percent,present,,ex_maxsupp,,comparable,pure_play,100,uncalibrated,由facts.csv解析,集中风险，不等同于独家供应
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,performance_commitment_flag,0,boolean,checked_clear,,ex_perf,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,audit_issue,0,boolean,checked_clear,,ex_audit,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,debt_default,0,boolean,checked_clear,,ex_default,,comparable,pure_play,100,uncalibrated,由facts.csv解析,
示例设备公司,example-equipment,equipment,FY2025,equipment-cn,operating_cash_flow,1,million,present,,ex_ocf,,comparable,pure_play,100,uncalibrated,由facts.csv解析,仅作预警演示
